Year,Region,Number_of_Banks,Number_of_Branches,New_Charters
1970,Puerto Rico,8,180,0
1971,Puerto Rico,8,187,0
1972,Puerto Rico,9,189,1
1973,Puerto Rico,9,195,0
1974,Puerto Rico,9,199,0
1975,Puerto Rico,9,206,0
1976,Puerto Rico,11,211,1
1977,Puerto Rico,13,214,3
1978,Puerto Rico,12,217,0
1979,Puerto Rico,12,220,1
1980,Puerto Rico,12,228,0
1981,Puerto Rico,12,235,0
1982,Puerto Rico,14,245,2
1983,Puerto Rico,13,252,0
1984,Puerto Rico,11,261,0
1985,Puerto Rico,13,271,1
1986,Puerto Rico,14,288,1
1987,Puerto Rico,15,293,0
1988,Puerto Rico,15,298,0
1989,Puerto Rico,15,308,0
1990,Puerto Rico,15,342,0
1991,Puerto Rico,14,330,0
1992,Puerto Rico,13,344,0
1993,Puerto Rico,12,352,0
1994,Puerto Rico,16,438,0
1995,Puerto Rico,15,443,0
1996,Puerto Rico,14,460,0
1997,Puerto Rico,13,482,0
1998,Puerto Rico,12,497,0
1999,Puerto Rico,12,515,1
2000,Puerto Rico,12,524,0
2001,Puerto Rico,12,530,0
2002,Puerto Rico,11,540,0
2003,Puerto Rico,11,544,0
2004,Puerto Rico,10,551,0
2005,Puerto Rico,10,564,0
2006,Puerto Rico,10,567,0
2007,Puerto Rico,10,573,0
2008,Puerto Rico,10,534,0
2009,Puerto Rico,10,491,0
2010,Puerto Rico,7,466,0
2011,Puerto Rico,7,437,0
2012,Puerto Rico,6,424,0
2013,Puerto Rico,6,394,0
2014,Puerto Rico,6,373,0
2015,Puerto Rico,5,350,0
2016,Puerto Rico,5,323,0
2017,Puerto Rico,5,310,0
2018,Puerto Rico,5,297,0
2019,Puerto Rico,4,299,0
1934,Rhode Island,16,0,
1935,Rhode Island,16,28,
1936,Rhode Island,16,28,
1937,Rhode Island,16,28,
1938,Rhode Island,16,28,
1939,Rhode Island,16,28,
1940,Rhode Island,16,28,
1941,Rhode Island,16,28,
1942,Rhode Island,16,28,
1943,Rhode Island,15,27,
1944,Rhode Island,16,35,
1945,Rhode Island,15,35,
1946,Rhode Island,14,35,
1947,Rhode Island,14,37,
1948,Rhode Island,14,38,
1949,Rhode Island,13,39,
1950,Rhode Island,12,47,
1951,Rhode Island,11,52,
1952,Rhode Island,10,52,
1953,Rhode Island,9,55,
1954,Rhode Island,8,62,
1955,Rhode Island,8,68,
1956,Rhode Island,8,72,
1957,Rhode Island,8,77,
1958,Rhode Island,7,84,
1959,Rhode Island,8,89,
1960,Rhode Island,8,90,
1961,Rhode Island,8,90,
1962,Rhode Island,8,98,
1963,Rhode Island,8,100,
1964,Rhode Island,8,105,
1965,Rhode Island,9,118,
1966,Rhode Island,9,121,0
1967,Rhode Island,12,142,3
1968,Rhode Island,11,151,0
1969,Rhode Island,11,153,0
1970,Rhode Island,11,163,0
1971,Rhode Island,11,171,0
1972,Rhode Island,14,177,3
1973,Rhode Island,14,199,0
1974,Rhode Island,14,204,0
1975,Rhode Island,14,210,0
1976,Rhode Island,14,214,0
1977,Rhode Island,14,215,0
1978,Rhode Island,14,216,0
1979,Rhode Island,14,221,0
1980,Rhode Island,14,223,0
1981,Rhode Island,14,227,0
1982,Rhode Island,15,222,0
1983,Rhode Island,15,216,0
1984,Rhode Island,13,184,0
1985,Rhode Island,16,181,3
1986,Rhode Island,15,178,0
1987,Rhode Island,12,160,0
1988,Rhode Island,12,164,0
1989,Rhode Island,13,166,0
1990,Rhode Island,11,166,0
1991,Rhode Island,13,160,1
1992,Rhode Island,12,164,0
1993,Rhode Island,10,145,0
1994,Rhode Island,9,174,0
1995,Rhode Island,8,162,0
1996,Rhode Island,8,177,1
1997,Rhode Island,9,180,0
1998,Rhode Island,7,183,0
1999,Rhode Island,6,183,0
2000,Rhode Island,7,137,1
2001,Rhode Island,8,157,1
2002,Rhode Island,7,154,0
2003,Rhode Island,8,157,1
2004,Rhode Island,8,165,0
2005,Rhode Island,7,171,1
2006,Rhode Island,7,171,0
2007,Rhode Island,7,174,0
2008,Rhode Island,7,177,0
2009,Rhode Island,7,177,0
2010,Rhode Island,7,177,0
2011,Rhode Island,7,177,0
2012,Rhode Island,6,212,0
2013,Rhode Island,5,210,0
2014,Rhode Island,5,212,0
2015,Rhode Island,5,212,0
2016,Rhode Island,5,211,0
2017,Rhode Island,5,202,0
2018,Rhode Island,5,199,0
2019,Rhode Island,5,201,0
1934,South Carolina,97,0,
1935,South Carolina,112,21,
1936,South Carolina,111,22,
1937,South Carolina,111,23,
1938,South Carolina,109,22,
1939,South Carolina,112,22,
1940,South Carolina,113,22,
1941,South Carolina,114,24,
1942,South Carolina,115,26,
1943,South Carolina,117,30,
1944,South Carolina,120,33,
1945,South Carolina,120,30,
1946,South Carolina,126,30,
1947,South Carolina,127,33,
1948,South Carolina,129,37,
1949,South Carolina,134,41,
1950,South Carolina,131,49,
1951,South Carolina,134,54,
1952,South Carolina,134,64,
1953,South Carolina,136,71,
1954,South Carolina,139,78,
1955,South Carolina,139,86,
1956,South Carolina,139,95,
1957,South Carolina,137,110,
1958,South Carolina,137,128,
1959,South Carolina,138,134,
1960,South Carolina,139,147,
1961,South Carolina,138,166,
1962,South Carolina,138,186,
1963,South Carolina,134,217,
1964,South Carolina,129,242,
1965,South Carolina,125,270,
1966,South Carolina,124,302,1
1967,South Carolina,122,328,1
1968,South Carolina,117,351,1
1969,South Carolina,104,380,0
1970,South Carolina,102,418,0
1971,South Carolina,99,459,1
1972,South Carolina,94,499,0
1973,South Carolina,91,548,1
1974,South Carolina,91,581,4
1975,South Carolina,90,601,2
1976,South Carolina,90,607,0
1977,South Carolina,88,629,0
1978,South Carolina,87,662,0
1979,South Carolina,85,687,0
1980,South Carolina,85,729,2
1981,South Carolina,83,766,0
1982,South Carolina,78,773,1
1983,South Carolina,72,795,0
1984,South Carolina,73,787,2
1985,South Carolina,74,794,2
1986,South Carolina,73,820,5
1987,South Carolina,74,817,5
1988,South Carolina,77,832,5
1989,South Carolina,82,845,5
1990,South Carolina,85,867,3
1991,South Carolina,83,871,0
1992,South Carolina,81,849,0
1993,South Carolina,78,882,0
1994,South Carolina,75,937,0
1995,South Carolina,71,913,2
1996,South Carolina,79,903,7
1997,South Carolina,80,904,5
1998,South Carolina,77,962,6
1999,South Carolina,77,975,6
2000,South Carolina,79,1021,4
2001,South Carolina,77,1050,3
2002,South Carolina,77,1069,1
2003,South Carolina,75,1078,1
2004,South Carolina,75,1102,1
2005,South Carolina,74,1124,3
2006,South Carolina,72,1169,6
2007,South Carolina,69,1232,2
2008,South Carolina,66,1263,1
2009,South Carolina,67,1256,1
2010,South Carolina,63,1257,0
2011,South Carolina,59,1281,0
2012,South Carolina,58,1349,0
2013,South Carolina,56,1325,0
2014,South Carolina,52,1301,0
2015,South Carolina,48,1271,0
2016,South Carolina,44,1247,0
2017,South Carolina,41,1213,0
2018,South Carolina,38,1177,1
2019,South Carolina,35,1163,0
1934,South Dakota,212,0,
1935,South Dakota,198,15,
1936,South Dakota,190,19,
1937,South Dakota,180,22,
1938,South Dakota,165,28,
1939,South Dakota,164,32,
1940,South Dakota,163,38,
1941,South Dakota,161,42,
1942,South Dakota,161,43,
1943,South Dakota,161,46,
1944,South Dakota,163,45,
1945,South Dakota,165,44,
1946,South Dakota,169,44,
1947,South Dakota,170,47,
1948,South Dakota,170,48,
1949,South Dakota,169,48,
1950,South Dakota,169,49,
1951,South Dakota,169,50,
1952,South Dakota,170,52,
1953,South Dakota,169,52,
1954,South Dakota,170,52,
1955,South Dakota,171,54,
1956,South Dakota,171,54,
1957,South Dakota,172,53,
1958,South Dakota,172,54,
1959,South Dakota,173,54,
1960,South Dakota,174,59,
1961,South Dakota,174,62,
1962,South Dakota,171,69,
1963,South Dakota,172,71,
1964,South Dakota,172,72,
1965,South Dakota,169,76,
1966,South Dakota,166,83,0
1967,South Dakota,165,87,0
1968,South Dakota,164,91,0
1969,South Dakota,163,94,0
1970,South Dakota,161,98,0
1971,South Dakota,159,100,0
1972,South Dakota,159,102,0
1973,South Dakota,159,108,1
1974,South Dakota,158,115,0
1975,South Dakota,158,125,1
1976,South Dakota,156,129,0
1977,South Dakota,157,137,1
1978,South Dakota,155,149,0
1979,South Dakota,154,158,1
1980,South Dakota,152,166,0
1981,South Dakota,153,172,1
1982,South Dakota,152,160,0
1983,South Dakota,145,165,1
1984,South Dakota,141,174,1
1985,South Dakota,137,177,1
1986,South Dakota,135,177,2
1987,South Dakota,137,173,8
1988,South Dakota,133,165,0
1989,South Dakota,129,171,0
1990,South Dakota,125,177,0
1991,South Dakota,125,186,0
1992,South Dakota,121,193,0
1993,South Dakota,121,203,0
1994,South Dakota,120,217,1
1995,South Dakota,116,228,1
1996,South Dakota,117,245,2
1997,South Dakota,106,266,3
1998,South Dakota,104,282,0
1999,South Dakota,102,278,0
2000,South Dakota,97,288,1
2001,South Dakota,93,292,0
2002,South Dakota,93,304,0
2003,South Dakota,90,309,0
2004,South Dakota,87,321,0
2005,South Dakota,88,324,1
2006,South Dakota,85,340,0
2007,South Dakota,85,344,1
2008,South Dakota,83,351,0
2009,South Dakota,80,357,0
2010,South Dakota,79,358,0
2011,South Dakota,78,355,0
2012,South Dakota,75,365,0
2013,South Dakota,73,362,0
2014,South Dakota,70,362,0
2015,South Dakota,69,384,0
2016,South Dakota,66,383,0
2017,South Dakota,64,384,0
2018,South Dakota,59,385,0
2019,South Dakota,58,382,0
1984,States of Micronesia,,4,
1985,States of Micronesia,,4,
1986,States of Micronesia,1,4,1
1987,States of Micronesia,1,4,0
1988,States of Micronesia,1,4,0
1989,States of Micronesia,1,4,0
1990,States of Micronesia,1,9,0
1991,States of Micronesia,1,9,0
1992,States of Micronesia,1,10,0
1993,States of Micronesia,1,10,0
1994,States of Micronesia,1,14,0
1995,States of Micronesia,1,14,0
1996,States of Micronesia,1,14,0
1997,States of Micronesia,1,16,0
1998,States of Micronesia,1,16,0
1999,States of Micronesia,1,14,0
2000,States of Micronesia,1,13,0
2001,States of Micronesia,1,13,0
2002,States of Micronesia,1,9,0
2003,States of Micronesia,1,9,0
2004,States of Micronesia,1,9,0
2005,States of Micronesia,1,9,0
2006,States of Micronesia,1,9,0
2007,States of Micronesia,1,9,0
2008,States of Micronesia,1,9,0
2009,States of Micronesia,1,11,0
2010,States of Micronesia,1,11,0
2011,States of Micronesia,1,11,0
2012,States of Micronesia,1,11,0
2013,States of Micronesia,1,11,0
2014,States of Micronesia,1,11,0
2015,States of Micronesia,1,11,0
2016,States of Micronesia,1,11,0
2017,States of Micronesia,1,11,0
2018,States of Micronesia,1,11,0
2019,States of Micronesia,1,11,0
1934,Tennessee,317,0,
1935,Tennessee,315,48,
1936,Tennessee,304,48,
1937,Tennessee,296,51,
1938,Tennessee,292,51,
1939,Tennessee,291,49,
1940,Tennessee,288,51,
1941,Tennessee,288,52,
1942,Tennessee,286,52,
1943,Tennessee,285,54,
1944,Tennessee,285,59,
1945,Tennessee,287,61,
1946,Tennessee,289,68,
1947,Tennessee,289,74,
1948,Tennessee,287,82,
1949,Tennessee,288,87,
1950,Tennessee,289,98,
1951,Tennessee,291,103,
1952,Tennessee,290,113,
1953,Tennessee,291,124,
1954,Tennessee,290,128,
1955,Tennessee,292,138,
1956,Tennessee,290,152,
1957,Tennessee,291,168,
1958,Tennessee,291,183,
1959,Tennessee,290,197,
1960,Tennessee,291,216,
1961,Tennessee,290,236,
1962,Tennessee,289,255,
1963,Tennessee,289,271,
1964,Tennessee,290,295,
1965,Tennessee,294,328,
1966,Tennessee,294,377,2
1967,Tennessee,295,403,2
1968,Tennessee,299,416,5
1969,Tennessee,301,448,2
1970,Tennessee,304,487,4
1971,Tennessee,307,527,2
1972,Tennessee,310,594,3
1973,Tennessee,317,657,7
1974,Tennessee,334,722,16
1975,Tennessee,342,772,8
1976,Tennessee,346,814,5
1977,Tennessee,346,910,3
1978,Tennessee,348,953,2
1979,Tennessee,350,992,3
1980,Tennessee,350,1032,1
1981,Tennessee,351,1056,1
1982,Tennessee,346,989,0
1983,Tennessee,332,1009,6
1984,Tennessee,296,1020,1
1985,Tennessee,289,1036,3
1986,Tennessee,283,1055,5
1987,Tennessee,282,1075,6
1988,Tennessee,272,1138,5
1989,Tennessee,268,1182,5
1990,Tennessee,253,1237,3
1991,Tennessee,250,1253,1
1992,Tennessee,251,1317,2
1993,Tennessee,250,1370,4
1994,Tennessee,251,1397,7
1995,Tennessee,240,1462,4
1996,Tennessee,238,1516,5
1997,Tennessee,232,1583,6
1998,Tennessee,204,1668,3
1999,Tennessee,201,1757,8
2000,Tennessee,197,1712,8
2001,Tennessee,189,1751,5
2002,Tennessee,192,1752,4
2003,Tennessee,188,1812,4
2004,Tennessee,188,1875,6
2005,Tennessee,186,1898,7
2006,Tennessee,183,1980,5
2007,Tennessee,185,2021,5
2008,Tennessee,181,2082,1
2009,Tennessee,178,2093,0
2010,Tennessee,176,2070,0
2011,Tennessee,173,2057,0
2012,Tennessee,172,2070,0
2013,Tennessee,167,2059,0
2014,Tennessee,163,2048,0
2015,Tennessee,158,2023,0
2016,Tennessee,147,1989,0
2017,Tennessee,142,1962,1
2018,Tennessee,135,1958,1
2019,Tennessee,130,1933,0
1934,Texas,820,0,
1935,Texas,805,0,
1936,Texas,800,0,
1937,Texas,793,0,
1938,Texas,788,0,
1939,Texas,779,0,
1940,Texas,781,0,
1941,Texas,785,0,
1942,Texas,783,1,
1943,Texas,785,23,
1944,Texas,788,27,
1945,Texas,800,20,
1946,Texas,811,4,
1947,Texas,828,4,
1948,Texas,839,3,
1949,Texas,850,5,
1950,Texas,861,12,
1951,Texas,870,12,
1952,Texas,877,14,
1953,Texas,882,17,
1954,Texas,886,17,
1955,Texas,899,19,
1956,Texas,917,22,
1957,Texas,931,24,
1958,Texas,946,23,
1959,Texas,967,28,
1960,Texas,990,28,
1961,Texas,1001,32,
1962,Texas,1030,44,
1963,Texas,1083,45,
1964,Texas,1115,50,
1965,Texas,1130,52,
1966,Texas,1137,53,8
1967,Texas,1139,59,3
1968,Texas,1142,63,4
1969,Texas,1157,67,12
1970,Texas,1183,76,26
1971,Texas,1207,86,25
1972,Texas,1231,95,30
1973,Texas,1259,110,34
1974,Texas,1306,123,47
1975,Texas,1336,138,33
1976,Texas,1357,157,25
1977,Texas,1377,176,20
1978,Texas,1395,203,18
1979,Texas,1422,234,28
1980,Texas,1467,260,45
1981,Texas,1523,298,58
1982,Texas,1598,305,83
1983,Texas,1727,318,134
1984,Texas,1854,364,131
1985,Texas,1936,393,91
1986,Texas,1972,444,59
1987,Texas,1771,726,15
1988,Texas,1501,1026,2
1989,Texas,1318,1358,0
1990,Texas,1184,1623,1
1991,Texas,1122,1837,0
1992,Texas,1089,1987,3
1993,Texas,1011,2219,1
1994,Texas,980,2417,1
1995,Texas,935,2605,2
1996,Texas,878,2873,5
1997,Texas,839,3126,11
1998,Texas,799,3329,12
1999,Texas,754,3412,8
2000,Texas,709,3513,3
2001,Texas,687,3684,6
2002,Texas,669,3841,6
2003,Texas,653,4060,9
2004,Texas,639,4493,8
2005,Texas,623,4986,5
2006,Texas,608,5278,6
2007,Texas,612,5636,18
2008,Texas,594,6247,5
2009,Texas,581,6286,5
2010,Texas,567,6160,0
2011,Texas,552,6151,0
2012,Texas,520,6205,0
2013,Texas,493,6244,0
2014,Texas,470,6198,0
2015,Texas,447,6142,0
2016,Texas,430,6018,0
2017,Texas,423,5912,1
2018,Texas,409,5972,0
2019,Texas,393,6003,1
1934,United States,0,0,
1935,United States,14125,3112,
1936,United States,13972,3260,
1937,United States,13796,3380,
1938,United States,13660,3411,
1939,United States,13537,3455,
1940,United States,13441,3488,
1941,United States,13429,3515,
1942,United States,13346,3553,
1943,United States,13273,3743,
1944,United States,13267,3874,
1945,United States,13301,3895,
1946,United States,13358,3927,
1947,United States,13402,4095,
1948,United States,13418,4282,
1949,United States,13435,4529,
1950,United States,13438,4797,
1951,United States,13447,5119,
1952,United States,13431,5436,
1953,United States,13422,5801,
1954,United States,13314,6288,
1955,United States,13228,6906,
1956,United States,13209,7574,
1957,United States,13156,8191,
1958,United States,13115,8849,
1959,United States,13106,9615,
1960,United States,13118,10436,
1961,United States,13107,11307,
1962,United States,13116,12290,
1963,United States,13283,13445,
1964,United States,13485,14559,
1965,United States,13536,15698,
1966,United States,13529,16842,99
1967,United States,13506,17884,94
1968,United States,13479,18966,82
1969,United States,13464,20149,115
1970,United States,13502,21597,178
1971,United States,13602,23080,196
1972,United States,13721,24566,234
1973,United States,13964,26403,332
1974,United States,14218,28384,364
1975,United States,14372,30069,245
1976,United States,14397,30931,160
1977,United States,14397,32836,154
1978,United States,14378,34524,149
1979,United States,14351,36521,203
1980,United States,14421,38458,205
1981,United States,14401,40500,198
1982,United States,14435,39485,315
1983,United States,14454,40548,361
1984,United States,14483,41311,356
1985,United States,14402,42718,279
1986,United States,14193,43823,215
1987,United States,13705,44813,196
1988,United States,13119,45818,191
1989,United States,12697,47429,170
1990,United States,12329,49800,138
1991,United States,11909,51388,76
1992,United States,11450,50976,40
1993,United States,10945,51840,47
1994,United States,10432,53871,45
1995,United States,9922,55656,96
1996,United States,9510,57072,139
1997,United States,9125,59641,182
1998,United States,8757,61357,187
1999,United States,8564,63032,227
2000,United States,8297,63602,188
2001,United States,8064,64378,125
2002,United States,7870,65651,90
2003,United States,7750,66971,110
2004,United States,7612,69690,120
2005,United States,7507,72321,167
2006,United States,7380,75381,177
2007,United States,7262,77968,175
2008,United States,7061,81809,90
2009,United States,6813,81918,24
2010,United States,6506,81464,5
2011,United States,6263,82045,0
2012,United States,6061,82461,0
2013,United States,5836,81658,1
2014,United States,5596,80960,0
2015,United States,5330,80537,1
2016,United States,5102,79107,0
2017,United States,4909,77821,5
2018,United States,4708,76772,7
2019,United States,4510,76473,13
1934,United States & Other Areas,14146,0,1220
1935,United States & Other Areas,14125,3112,45
1936,United States & Other Areas,13973,3261,32
1937,United States & Other Areas,13797,3381,46
1938,United States & Other Areas,13661,3412,22
1939,United States & Other Areas,13538,3456,26
1940,United States & Other Areas,13442,3489,28
1941,United States & Other Areas,13430,3517,37
1942,United States & Other Areas,13347,3555,15
1943,United States & Other Areas,13274,3744,36
1944,United States & Other Areas,13268,3875,56
1945,United States & Other Areas,13302,3896,101
1946,United States & Other Areas,13359,3928,130
1947,United States & Other Areas,13403,4096,99
1948,United States & Other Areas,13419,4283,61
1949,United States & Other Areas,13436,4530,58
1950,United States & Other Areas,13446,4832,58
1951,United States & Other Areas,13455,5157,51
1952,United States & Other Areas,13439,5486,61
1953,United States & Other Areas,13432,5855,59
1954,United States & Other Areas,13323,6346,66
1955,United States & Other Areas,13237,6965,103
1956,United States & Other Areas,13218,7639,107
1957,United States & Other Areas,13165,8267,73
1958,United States & Other Areas,13124,8955,83
1959,United States & Other Areas,13114,9732,102
1960,United States & Other Areas,13126,10556,111
1961,United States & Other Areas,13115,11436,98
1962,United States & Other Areas,13124,12421,167
1963,United States & Other Areas,13291,13581,281
1964,United States & Other Areas,13493,14699,323
1965,United States & Other Areas,13544,15872,182
1966,United States & Other Areas,13538,17029,99
1967,United States & Other Areas,13514,18079,94
1968,United States & Other Areas,13487,19183,82
1969,United States & Other Areas,13473,20379,115
1970,United States & Other Areas,13511,21839,178
1971,United States & Other Areas,13612,23336,197
1972,United States & Other Areas,13733,24829,236
1973,United States & Other Areas,13976,26673,332
1974,United States & Other Areas,14230,28651,364
1975,United States & Other Areas,14384,30205,246
1976,United States & Other Areas,14410,31344,161
1977,United States & Other Areas,14411,33108,157
1978,United States & Other Areas,14391,34791,149
1979,United States & Other Areas,14364,36791,204
1980,United States & Other Areas,14434,38738,205
1981,United States & Other Areas,14414,40786,198
1982,United States & Other Areas,14451,39783,317
1983,United States & Other Areas,14469,40853,361
1984,United States & Other Areas,14496,41625,356
1985,United States & Other Areas,14417,43041,280
1986,United States & Other Areas,14210,44162,217
1987,United States & Other Areas,13723,45155,196
1988,United States & Other Areas,13137,46167,191
1989,United States & Other Areas,12715,47789,170
1990,United States & Other Areas,12347,50199,138
1991,United States & Other Areas,11927,51778,77
1992,United States & Other Areas,11467,51381,40
1993,United States & Other Areas,10961,52259,47
1994,United States & Other Areas,10453,54384,46
1995,United States & Other Areas,9943,56176,97
1996,United States & Other Areas,9530,57611,139
1997,United States & Other Areas,9144,60204,182
1998,United States & Other Areas,8775,61940,187
1999,United States & Other Areas,8582,63631,228
2000,United States & Other Areas,8315,64213,188
2001,United States & Other Areas,8082,64994,125
2002,United States & Other Areas,7887,66269,90
2003,United States & Other Areas,7767,67592,110
2004,United States & Other Areas,7628,70313,120
2005,United States & Other Areas,7523,72958,167
2006,United States & Other Areas,7397,76023,178
2007,United States & Other Areas,7279,78620,175
2008,United States & Other Areas,7077,82422,90
2009,United States & Other Areas,6829,82490,24
2010,United States & Other Areas,6519,82011,5
2011,United States & Other Areas,6275,82564,0
2012,United States & Other Areas,6072,82965,0
2013,United States & Other Areas,5847,82126,1
2014,United States & Other Areas,5607,81405,0
2015,United States & Other Areas,5340,80958,1
2016,United States & Other Areas,5112,79499,0
2017,United States & Other Areas,4918,78196,5
2018,United States & Other Areas,4717,77134,7
2019,United States & Other Areas,4518,76837,13
1934,Utah,58,0,
1935,Utah,59,10,
1936,Utah,59,10,
1937,Utah,59,12,
1938,Utah,59,12,
1939,Utah,59,12,
1940,Utah,60,12,
1941,Utah,60,12,
1942,Utah,59,12,
1943,Utah,57,21,
1944,Utah,57,20,
1945,Utah,57,19,
1946,Utah,59,12,
1947,Utah,60,15,
1948,Utah,55,22,
1949,Utah,55,23,
1950,Utah,55,24,
1951,Utah,54,30,
1952,Utah,55,34,
1953,Utah,54,37,
1954,Utah,54,38,
1955,Utah,51,45,
1956,Utah,47,54,
1957,Utah,44,66,
1958,Utah,44,68,
1959,Utah,46,70,
1960,Utah,46,74,
1961,Utah,46,77,
1962,Utah,45,83,
1963,Utah,50,95,
1964,Utah,54,103,
1965,Utah,56,109,
1966,Utah,55,111,0
1967,Utah,55,112,0
1968,Utah,54,115,1
1969,Utah,51,126,0
1970,Utah,48,139,1
1971,Utah,50,148,3
1972,Utah,52,160,4
1973,Utah,53,171,6
1974,Utah,54,186,3
1975,Utah,63,204,9
1976,Utah,66,209,3
1977,Utah,71,229,7
1978,Utah,66,253,5
1979,Utah,74,273,9
1980,Utah,76,286,3
1981,Utah,66,318,2
1982,Utah,61,332,0
1983,Utah,61,339,0
1984,Utah,60,352,1
1985,Utah,59,373,0
1986,Utah,61,381,2
1987,Utah,55,387,0
1988,Utah,55,388,4
1989,Utah,57,381,4
1990,Utah,55,391,0
1991,Utah,55,386,2
1992,Utah,54,384,0
1993,Utah,48,389,3
1994,Utah,44,403,0
1995,Utah,45,427,2
1996,Utah,48,440,4
1997,Utah,49,458,4
1998,Utah,50,474,3
1999,Utah,51,487,3
2000,Utah,56,495,6
2001,Utah,55,489,3
2002,Utah,56,487,2
2003,Utah,60,491,6
2004,Utah,62,491,4
2005,Utah,63,498,4
2006,Utah,63,506,1
2007,Utah,61,519,0
2008,Utah,63,569,3
2009,Utah,58,562,0
2010,Utah,53,550,0
2011,Utah,51,547,0
2012,Utah,51,538,0
2013,Utah,50,536,0
2014,Utah,49,530,0
2015,Utah,46,525,0
2016,Utah,45,503,0
2017,Utah,42,494,0
2018,Utah,40,482,0
2019,Utah,38,481,0
1934,Vermont,76,0,
1935,Vermont,76,12,
1936,Vermont,75,12,
1937,Vermont,75,12,
1938,Vermont,75,12,
1939,Vermont,75,12,
1940,Vermont,73,12,
1941,Vermont,72,9,
1942,Vermont,72,9,
1943,Vermont,71,8,
1944,Vermont,71,9,
1945,Vermont,71,9,
1946,Vermont,71,9,
1947,Vermont,69,10,
1948,Vermont,69,11,
1949,Vermont,69,11,
1950,Vermont,69,11,
1951,Vermont,68,11,
1952,Vermont,66,11,
1953,Vermont,66,11,
1954,Vermont,64,13,
1955,Vermont,61,15,
1956,Vermont,60,16,
1957,Vermont,58,18,
1958,Vermont,57,30,
1959,Vermont,56,33,
1960,Vermont,55,33,
1961,Vermont,52,37,
1962,Vermont,50,40,
1963,Vermont,48,43,
1964,Vermont,48,49,
1965,Vermont,47,57,
1966,Vermont,47,59,0
1967,Vermont,45,67,0
1968,Vermont,44,71,0
1969,Vermont,43,78,0
1970,Vermont,42,85,0
1971,Vermont,41,89,0
1972,Vermont,40,98,0
1973,Vermont,38,109,0
1974,Vermont,33,131,0
1975,Vermont,31,139,0
1976,Vermont,29,142,0
1977,Vermont,30,145,2
1978,Vermont,29,147,0
1979,Vermont,29,159,0
1980,Vermont,28,167,0
1981,Vermont,27,173,0
1982,Vermont,27,180,0
1983,Vermont,27,181,0
1984,Vermont,27,181,0
1985,Vermont,25,185,0
1986,Vermont,25,191,0
1987,Vermont,26,194,1
1988,Vermont,26,194,0
1989,Vermont,27,196,1
1990,Vermont,27,195,0
1991,Vermont,24,197,0
1992,Vermont,22,195,0
1993,Vermont,20,186,0
1994,Vermont,20,181,0
1995,Vermont,20,183,0
1996,Vermont,22,170,0
1997,Vermont,21,196,0
1998,Vermont,21,196,0
1999,Vermont,20,201,0
2000,Vermont,18,188,0
2001,Vermont,18,188,0
2002,Vermont,15,214,0
2003,Vermont,14,221,0
2004,Vermont,14,223,0
2005,Vermont,14,225,0
2006,Vermont,14,226,0
2007,Vermont,11,210,0
2008,Vermont,9,157,0
2009,Vermont,9,156,0
2010,Vermont,9,155,0
2011,Vermont,9,155,0
2012,Vermont,9,151,0
2013,Vermont,8,140,0
2014,Vermont,7,145,0
2015,Vermont,7,180,0
2016,Vermont,7,180,0
2017,Vermont,6,189,0
2018,Vermont,6,183,0
2019,Vermont,6,181,0
1934,Virgin Islands,0,0,
1935,Virgin Islands,0,0,
1936,Virgin Islands,1,1,
1937,Virgin Islands,1,1,
1938,Virgin Islands,1,1,
1939,Virgin Islands,1,1,
1940,Virgin Islands,1,1,
1941,Virgin Islands,1,2,
1942,Virgin Islands,1,2,
1943,Virgin Islands,1,1,
1944,Virgin Islands,1,1,
1945,Virgin Islands,1,1,
1946,Virgin Islands,1,1,
1947,Virgin Islands,1,1,
1948,Virgin Islands,1,1,
1949,Virgin Islands,1,1,
1950,Virgin Islands,1,1,
1951,Virgin Islands,1,1,
1952,Virgin Islands,1,1,
1953,Virgin Islands,2,1,
1954,Virgin Islands,2,2,
1955,Virgin Islands,2,2,
1956,Virgin Islands,2,2,
1957,Virgin Islands,2,2,
1958,Virgin Islands,2,4,
1959,Virgin Islands,1,5,
1960,Virgin Islands,1,5,
1961,Virgin Islands,1,6,
1962,Virgin Islands,1,6,
1963,Virgin Islands,1,6,
1964,Virgin Islands,1,6,
1965,Virgin Islands,1,6,
1966,Virgin Islands,1,11,0
1967,Virgin Islands,1,13,0
1968,Virgin Islands,1,19,0
1969,Virgin Islands,1,20,0
1970,Virgin Islands,1,24,0
1971,Virgin Islands,2,28,1
1972,Virgin Islands,2,29,0
1973,Virgin Islands,2,30,0
1974,Virgin Islands,2,29,0
1975,Virgin Islands,2,28,1
1976,Virgin Islands,1,26,0
1977,Virgin Islands,0,24,0
1978,Virgin Islands,0,24,0
1979,Virgin Islands,0,24,0
1980,Virgin Islands,0,23,0
1981,Virgin Islands,0,24,0
1982,Virgin Islands,0,24,0
1983,Virgin Islands,0,23,0
1984,Virgin Islands,,20,
1985,Virgin Islands,,19,
1986,Virgin Islands,,17,
1987,Virgin Islands,,16,
1988,Virgin Islands,,17,
1989,Virgin Islands,,18,
1990,Virgin Islands,,18,
1991,Virgin Islands,,18,
1992,Virgin Islands,,15,
1993,Virgin Islands,,17,
1994,Virgin Islands,1,19,1
1995,Virgin Islands,2,19,1
1996,Virgin Islands,2,19,0
1997,Virgin Islands,2,19,0
